item_id,condition,sentence,prompt
1,exp_pronoun,The actress (f) assisted the maid (f) who needed help moving the furniture.,Sentence: The actress (f) assisted the maid (f) who needed help moving the furniture. Answer: She ___
1,nonexp_pronoun,The actress (f) assisted the maid (f) who worked the morning shift.,Sentence: The actress (f) assisted the maid (f) who worked the morning shift. Answer: She ___
2,exp_pronoun,The agent (m) pities the rockstar (m) who never seems to draw a crowd.,Sentence: The agent (m) pities the rockstar (m) who never seems to draw a crowd. Answer: He ___
2,nonexp_pronoun,The agent (m) pities the rockstar (m) who he managed to sign last week.,Sentence: The agent (m) pities the rockstar (m) who he managed to sign last week. Answer: He ___
3,exp_pronoun,The airline executive (m) trusted the pilot (m) who has a spotless flying record.,Sentence: The airline executive (m) trusted the pilot (m) who has a spotless flying record. Answer: He ___
3,nonexp_pronoun,The airline executive (m) trusted the pilot (m) who flies the nonstop from Philadelphia to San Diego.,Sentence: The airline executive (m) trusted the pilot (m) who flies the nonstop from Philadelphia to San Diego. Answer: He ___
4,exp_pronoun,The announcer (m) mocked the baseball player (m) who had struck out four times in a row.,Sentence: The announcer (m) mocked the baseball player (m) who had struck out four times in a row. Answer: He ___
4,nonexp_pronoun,The announcer (m) mocked the baseball player (m) who was first in the batting lineup.,Sentence: The announcer (m) mocked the baseball player (m) who was first in the batting lineup. Answer: He ___
5,exp_pronoun,The babysitter (f) despises the child (f) who acts out at every opportunity.,Sentence: The babysitter (f) despises the child (f) who acts out at every opportunity. Answer: She ___
5,nonexp_pronoun,The babysitter (f) despises the child (f) who is left home every Friday night.,Sentence: The babysitter (f) despises the child (f) who is left home every Friday night. Answer: She ___
6,exp_pronoun,The businessman (m) worships the accountant (m) who found him a new set of tax deductions.,Sentence: The businessman (m) worships the accountant (m) who found him a new set of tax deductions. Answer: He ___
6,nonexp_pronoun,The businessman (m) worships the accountant (m) who joined the team last week.,Sentence: The businessman (m) worships the accountant (m) who joined the team last week. Answer: He ___
7,exp_pronoun,The chessmaster (m) ridiculed the novice (m) who made a bad move.,Sentence: The chessmaster (m) ridiculed the novice (m) who made a bad move. Answer: He ___
7,nonexp_pronoun,The chessmaster (m) ridiculed the novice (m) who had his lesson on Friday afternoons.,Sentence: The chessmaster (m) ridiculed the novice (m) who had his lesson on Friday afternoons. Answer: He ___
