sent_id,item_id,verb,sentence_type,verb_type,main_clause,target,question,prompt
1,1,scold,IC,IC_High,Anna scolded the chef,Anna scolded the chef who was routinely letting food go to waste.,"Does this sentence explain why Anna scolded the chef? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Anna scolded the chef who was routinely letting food go to waste. Question: Does this sentence explain why Anna scolded the chef? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
2,1,study,nonIC,nonIC_High,Anna studied with the chef,Anna studied with the chef who was routinely letting food go to waste.,"Does this sentence explain why Anna studied with the chef? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Anna studied with the chef who was routinely letting food go to waste. Question: Does this sentence explain why Anna studied with the chef? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
3,2,stare,IC,IC_High,John stared at the teacher,John stared at the teacher who was definitely the smartest in the school.,"Does this sentence explain why John stared at the teacher? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: John stared at the teacher who was definitely the smartest in the school. Question: Does this sentence explain why John stared at the teacher? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
4,2,live,nonIC,nonIC_High,John lived next to the teacher,John lived next to the teacher who was definitely the smartest in the school.,"Does this sentence explain why John lived next to the teacher? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: John lived next to the teacher who was definitely the smartest in the school. Question: Does this sentence explain why John lived next to the teacher? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
5,3,assist,IC,IC_High,Jenny assisted the maid,Jenny assisted the maid who was regularly late to work.,"Does this sentence explain why Jenny assisted the maid? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jenny assisted the maid who was regularly late to work. Question: Does this sentence explain why Jenny assisted the maid? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
6,3,joke,nonIC,nonIC_High,Jenny joked with the maid,Jenny joked with the maid who was regularly late to work.,"Does this sentence explain why Jenny joked with the maid? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jenny joked with the maid who was regularly late to work. Question: Does this sentence explain why Jenny joked with the maid? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
7,4,trust,IC,IC_High,Nick trusted the captain,Nick trusted the captain who has consistently weathered big storms.,"Does this sentence explain why Nick trusted the captain? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Nick trusted the captain who has consistently weathered big storms. Question: Does this sentence explain why Nick trusted the captain? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
8,4,stand,nonIC,nonIC_High,Nick stood near the captain,Nick stood near the captain who has consistently weathered big storms.,"Does this sentence explain why Nick stood near the captain? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Nick stood near the captain who has consistently weathered big storms. Question: Does this sentence explain why Nick stood near the captain? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
9,5,correct,IC,IC_High,Angela corrected the secretary,Angela corrected the secretary who has occasionally made small mistakes.,"Does this sentence explain why Angela corrected the secretary? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Angela corrected the secretary who has occasionally made small mistakes. Question: Does this sentence explain why Angela corrected the secretary? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
10,5,gossip,nonIC,nonIC_High,Angela gossiped with the secretary,Angela gossiped with the secretary who has occasionally made small mistakes.,"Does this sentence explain why Angela gossiped with the secretary? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Angela gossiped with the secretary who has occasionally made small mistakes. Question: Does this sentence explain why Angela gossiped with the secretary? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
