sent_id,item_id,verb,sentence_type,attachment,plurality,sentence,critical_token,critical_prob,logprob
1,1,scold,IC,high,sg,Anna scolded the chef of the aristocrats who was, was,-3.050560474395752,"[('Anna', -10.042008399963379), (' sc', -11.335952758789062), ('old', -3.5146355628967285), ('ed', -0.02904280088841915), (' the', -2.5527455806732178), (' chef', -6.924521446228027), (' of', -4.117024898529053), (' the', -0.7062457799911499), (' arist', -7.872097492218018), ('ocrats', -2.5507519245147705), (' who', -2.691922187805176), (' was', -3.050560474395752)]"
2,1,study,nonIC,high,sg,Anna studied with the chef of the aristocrats who was, was,-2.8697845935821533,"[('Anna', -10.042008399963379), (' studied', -8.41021728515625), (' with', -4.769062042236328), (' the', -2.4276492595672607), (' chef', -9.474661827087402), (' of', -3.2561347484588623), (' the', -0.8794416785240173), (' arist', -9.778103828430176), ('ocrats', -2.80104398727417), (' who', -5.364297389984131), (' was', -2.8697845935821533)]"
3,1,scold,IC,low,pl,Anna scolded the chef of the aristocrats who were, were,-2.508179187774658,"[('Anna', -10.042008399963379), (' sc', -11.335952758789062), ('old', -3.5146355628967285), ('ed', -0.02904280088841915), (' the', -2.5527455806732178), (' chef', -6.924521446228027), (' of', -4.117024898529053), (' the', -0.7062457799911499), (' arist', -7.872097492218018), ('ocrats', -2.5507519245147705), (' who', -2.691922187805176), (' were', -2.508179187774658)]"
4,1,study,nonIC,low,pl,Anna studied with the chef of the aristocrats who were, were,-2.792773485183716,"[('Anna', -10.042008399963379), (' studied', -8.41021728515625), (' with', -4.769062042236328), (' the', -2.4276492595672607), (' chef', -9.474661827087402), (' of', -3.2561347484588623), (' the', -0.8794416785240173), (' arist', -9.778103828430176), ('ocrats', -2.80104398727417), (' who', -5.364297389984131), (' were', -2.792773485183716)]"
5,2,stare,IC,high,sg,John stared at the teacher of the second graders who was, was,-1.7770417928695679,"[('John', -7.8124260902404785), (' stared', -11.449457168579102), (' at', -0.59825199842453), (' the', -0.3987307548522949), (' teacher', -8.406044960021973), (' of', -6.135597229003906), (' the', -1.4854365587234497), (' second', -5.729358673095703), (' grad', -4.1019511222839355), ('ers', -0.027756163850426674), (' who', -3.075504779815674), (' was', -1.7770417928695679)]"
6,2,live,nonIC,high,sg,John lived next to the teacher of the second graders who was, was,-1.980610966682434,"[('John', -7.8124260902404785), (' lived', -9.980362892150879), (' next', -5.313590049743652), (' to', -1.4542405605316162), (' the', -1.5685666799545288), (' teacher', -7.818244934082031), (' of', -3.4764208793640137), (' the', -1.1596614122390747), (' second', -6.543412208557129), (' grad', -4.215226173400879), ('ers', -0.01605839654803276), (' who', -4.131923198699951), (' was', -1.980610966682434)]"
7,2,stare,IC,low,pl,John stared at the teacher of the second graders who were, were,-1.380881667137146,"[('John', -7.8124260902404785), (' stared', -11.449457168579102), (' at', -0.59825199842453), (' the', -0.3987307548522949), (' teacher', -8.406044960021973), (' of', -6.135597229003906), (' the', -1.4854365587234497), (' second', -5.729358673095703), (' grad', -4.1019511222839355), ('ers', -0.027756163850426674), (' who', -3.075504779815674), (' were', -1.380881667137146)]"
8,2,live,nonIC,low,pl,John lived next to the teacher of the second graders who were, were,-2.2484235763549805,"[('John', -7.8124260902404785), (' lived', -9.980362892150879), (' next', -5.313590049743652), (' to', -1.4542405605316162), (' the', -1.5685666799545288), (' teacher', -7.818244934082031), (' of', -3.4764208793640137), (' the', -1.1596614122390747), (' second', -6.543412208557129), (' grad', -4.215226173400879), ('ers', -0.01605839654803276), (' who', -4.131923198699951), (' were', -2.2484235763549805)]"
9,3,assist,IC,high,sg,Jenny assisted the maid of the executives who was, was,-2.6541824340820312,"[('J', -6.636455059051514), ('enny', -4.522565841674805), (' assisted', -12.789739608764648), (' the', -2.9908390045166016), (' maid', -10.934760093688965), (' of', -3.235658645629883), (' the', -2.743381977081299), (' executives', -12.315560340881348), (' who', -4.0794453620910645), (' was', -2.6541824340820312)]"
10,3,joke,nonIC,high,sg,Jenny joked with the maid of the executives who was, was,-2.7013120651245117,"[('J', -6.636455059051514), ('enny', -4.522565841674805), (' joked', -13.220483779907227), (' with', -2.4503939151763916), (' the', -2.617248058319092), (' maid', -6.7739715576171875), (' of', -3.1195015907287598), (' the', -3.9236559867858887), (' executives', -12.721527099609375), (' who', -3.7609174251556396), (' was', -2.7013120651245117)]"
