sent_id,item_id,verb,sentence_type,continuation_type,main_sentence,sentence
1,1,scold,IC,exp,Anna scolded the chef who was routinely letting food go to waste,"Anna scolded the chef who was routinely letting food go to waste, because"
2,1,study,nonIC,exp,Anna studied with the chef who was routinely letting food go to waste,"Anna studied with the chef who was routinely letting food go to waste, because"
3,1,scold,IC,nonexp,Anna scolded the chef who was routinely letting food go to waste,"Anna scolded the chef who was routinely letting food go to waste, and"
4,1,study,nonIC,nonexp,Anna studied with the chef who was routinely letting food go to waste,"Anna studied with the chef who was routinely letting food go to waste, and"
5,2,stare,IC,exp,John stared at the teacher who was definitely the smartest in the school,"John stared at the teacher who was definitely the smartest in the school, because"
6,2,live,nonIC,exp,John lived next to the teacher who was definitely the smartest in the school,"John lived next to the teacher who was definitely the smartest in the school, because"
7,2,stare,IC,nonexp,John stared at the teacher who was definitely the smartest in the school,"John stared at the teacher who was definitely the smartest in the school, and"
8,2,live,nonIC,nonexp,John lived next to the teacher who was definitely the smartest in the school,"John lived next to the teacher who was definitely the smartest in the school, and"
9,3,assist,IC,exp,Jenny assisted the maid who was regularly late to work,"Jenny assisted the maid who was regularly late to work, because"
10,3,joke,nonIC,exp,Jenny joked with the maid who was regularly late to work,"Jenny joked with the maid who was regularly late to work, because"
11,3,assist,IC,nonexp,Jenny assisted the maid who was regularly late to work,"Jenny assisted the maid who was regularly late to work, and"
12,3,joke,nonIC,nonexp,Jenny joked with the maid who was regularly late to work,"Jenny joked with the maid who was regularly late to work, and"
13,4,trust,IC,exp,Nick trusted the captain who has consistently weathered big storms,"Nick trusted the captain who has consistently weathered big storms, because"
14,4,stand,nonIC,exp,Nick stood near the captain who has consistently weathered big storms,"Nick stood near the captain who has consistently weathered big storms, because"
15,4,trust,IC,nonexp,Nick trusted the captain who has consistently weathered big storms,"Nick trusted the captain who has consistently weathered big storms, and"
16,4,stand,nonIC,nonexp,Nick stood near the captain who has consistently weathered big storms,"Nick stood near the captain who has consistently weathered big storms, and"
17,5,correct,IC,exp,Angela corrected the secretary who has occasionally made small mistakes,"Angela corrected the secretary who has occasionally made small mistakes, because"
18,5,gossip,nonIC,exp,Angela gossiped with the secretary who has occasionally made small mistakes,"Angela gossiped with the secretary who has occasionally made small mistakes, because"
19,5,correct,IC,nonexp,Angela corrected the secretary who has occasionally made small mistakes,"Angela corrected the secretary who has occasionally made small mistakes, and"
20,5,gossip,nonIC,nonexp,Angela gossiped with the secretary who has occasionally made small mistakes,"Angela gossiped with the secretary who has occasionally made small mistakes, and"
21,6,comfort,IC,exp,Bob comforted the leader who was deeply disappointed by the court's decision,"Bob comforted the leader who was deeply disappointed by the court's decision, because"
