sent_id,item_id,verb,sentence_type,continuation_type,main_sentence,sentence,critical_token,critical_prob,logprob
1,1,scold,IC,exp,Anna scolded the chef who was routinely letting food go to waste,"Anna scolded the chef who was routinely letting food go to waste, because", because,-4.815530776977539,"[('Anna', -10.042008399963379), (' sc', -11.335952758789062), ('old', -3.5146355628967285), ('ed', -0.02904280088841915), (' the', -2.5527455806732178), (' chef', -6.924521446228027), (' who', -2.6834053993225098), (' was', -2.1191630363464355), (' routinely', -11.596200942993164), (' letting', -5.626781463623047), (' food', -3.6068015098571777), (' go', -1.5624421834945679), (' to', -1.2372255325317383), (' waste', -0.05444381386041641), (',', -2.014634132385254), (' because', -4.815530776977539)]"
2,1,study,nonIC,exp,Anna studied with the chef who was routinely letting food go to waste,"Anna studied with the chef who was routinely letting food go to waste, because", because,-4.825024127960205,"[('Anna', -10.042008399963379), (' studied', -8.41021728515625), (' with', -4.769062042236328), (' the', -2.4276492595672607), (' chef', -9.474661827087402), (' who', -3.9939000606536865), (' was', -3.007643222808838), (' routinely', -11.960350036621094), (' letting', -10.844917297363281), (' food', -4.293284893035889), (' go', -1.8655213117599487), (' to', -1.4096163511276245), (' waste', -0.07652553915977478), (',', -1.6586395502090454), (' because', -4.825024127960205)]"
3,1,scold,IC,nonexp,Anna scolded the chef who was routinely letting food go to waste,"Anna scolded the chef who was routinely letting food go to waste, and", and,-1.043670654296875,"[('Anna', -10.042008399963379), (' sc', -11.335952758789062), ('old', -3.5146355628967285), ('ed', -0.02904280088841915), (' the', -2.5527455806732178), (' chef', -6.924521446228027), (' who', -2.6834053993225098), (' was', -2.1191630363464355), (' routinely', -11.596200942993164), (' letting', -5.626781463623047), (' food', -3.6068015098571777), (' go', -1.5624421834945679), (' to', -1.2372255325317383), (' waste', -0.05444381386041641), (',', -2.014634132385254), (' and', -1.043670654296875)]"
4,1,study,nonIC,nonexp,Anna studied with the chef who was routinely letting food go to waste,"Anna studied with the chef who was routinely letting food go to waste, and", and,-0.7013699412345886,"[('Anna', -10.042008399963379), (' studied', -8.41021728515625), (' with', -4.769062042236328), (' the', -2.4276492595672607), (' chef', -9.474661827087402), (' who', -3.9939000606536865), (' was', -3.007643222808838), (' routinely', -11.960350036621094), (' letting', -10.844917297363281), (' food', -4.293284893035889), (' go', -1.8655213117599487), (' to', -1.4096163511276245), (' waste', -0.07652553915977478), (',', -1.6586395502090454), (' and', -0.7013699412345886)]"
5,2,stare,IC,exp,John stared at the teacher who was definitely the smartest in the school,"John stared at the teacher who was definitely the smartest in the school, because", because,-5.423553943634033,"[('John', -7.8124260902404785), (' stared', -11.449457168579102), (' at', -0.59825199842453), (' the', -0.3987307548522949), (' teacher', -8.406044960021973), (' who', -2.98252010345459), (' was', -0.7671465873718262), (' definitely', -9.889354705810547), (' the', -3.286484718322754), (' smart', -4.707950115203857), ('est', -0.004196765832602978), (' in', -2.585601329803467), (' the', -0.3373594284057617), (' school', -2.2370312213897705), (',', -2.2332663536071777), (' because', -5.423553943634033)]"
6,2,live,nonIC,exp,John lived next to the teacher who was definitely the smartest in the school,"John lived next to the teacher who was definitely the smartest in the school, because", because,-4.904059410095215,"[('John', -7.8124260902404785), (' lived', -9.980362892150879), (' next', -5.313590049743652), (' to', -1.4542405605316162), (' the', -1.5685666799545288), (' teacher', -7.818244934082031), (' who', -2.2263312339782715), (' was', -1.6828585863113403), (' definitely', -9.830968856811523), (' the', -2.0235981941223145), (' smart', -3.4183177947998047), ('est', -0.005805772263556719), (' in', -1.7039785385131836), (' the', -0.4484245479106903), (' school', -1.1979708671569824), (',', -2.710895299911499), (' because', -4.904059410095215)]"
7,2,stare,IC,nonexp,John stared at the teacher who was definitely the smartest in the school,"John stared at the teacher who was definitely the smartest in the school, and", and,-1.4803003072738647,"[('John', -7.8124260902404785), (' stared', -11.449457168579102), (' at', -0.59825199842453), (' the', -0.3987307548522949), (' teacher', -8.406044960021973), (' who', -2.98252010345459), (' was', -0.7671465873718262), (' definitely', -9.889354705810547), (' the', -3.286484718322754), (' smart', -4.707950115203857), ('est', -0.004196765832602978), (' in', -2.585601329803467), (' the', -0.3373594284057617), (' school', -2.2370312213897705), (',', -2.2332663536071777), (' and', -1.4803003072738647)]"
8,2,live,nonIC,nonexp,John lived next to the teacher who was definitely the smartest in the school,"John lived next to the teacher who was definitely the smartest in the school, and", and,-1.120859980583191,"[('John', -7.8124260902404785), (' lived', -9.980362892150879), (' next', -5.313590049743652), (' to', -1.4542405605316162), (' the', -1.5685666799545288), (' teacher', -7.818244934082031), (' who', -2.2263312339782715), (' was', -1.6828585863113403), (' definitely', -9.830968856811523), (' the', -2.0235981941223145), (' smart', -3.4183177947998047), ('est', -0.005805772263556719), (' in', -1.7039785385131836), (' the', -0.4484245479106903), (' school', -1.1979708671569824), (',', -2.710895299911499), (' and', -1.120859980583191)]"
9,3,assist,IC,exp,Jenny assisted the maid who was regularly late to work,"Jenny assisted the maid who was regularly late to work, because", because,-3.800300121307373,"[('J', -6.636455059051514), ('enny', -4.522565841674805), (' assisted', -12.789739608764648), (' the', -2.9908390045166016), (' maid', -10.934760093688965), (' who', -3.673982620239258), (' was', -1.2496434450149536), (' regularly', -9.411770820617676), (' late', -7.232848167419434), (' to', -2.128134250640869), (' work', -1.3416616916656494), (',', -1.8575869798660278), (' because', -3.800300121307373)]"
10,3,joke,nonIC,exp,Jenny joked with the maid who was regularly late to work,"Jenny joked with the maid who was regularly late to work, because", because,-4.141938209533691,"[('J', -6.636455059051514), ('enny', -4.522565841674805), (' joked', -13.220483779907227), (' with', -2.4503939151763916), (' the', -2.617248058319092), (' maid', -6.7739715576171875), (' who', -3.4185919761657715), (' was', -1.4934396743774414), (' regularly', -9.371274948120117), (' late', -7.800859451293945), (' to', -1.9274177551269531), (' work', -0.7280908226966858), (',', -1.5148714780807495), (' because', -4.141938209533691)]"
11,3,assist,IC,nonexp,Jenny assisted the maid who was regularly late to work,"Jenny assisted the maid who was regularly late to work, and", and,-1.8935703039169312,"[('J', -6.636455059051514), ('enny', -4.522565841674805), (' assisted', -12.789739608764648), (' the', -2.9908390045166016), (' maid', -10.934760093688965), (' who', -3.673982620239258), (' was', -1.2496434450149536), (' regularly', -9.411770820617676), (' late', -7.232848167419434), (' to', -2.128134250640869), (' work', -1.3416616916656494), (',', -1.8575869798660278), (' and', -1.8935703039169312)]"
12,3,joke,nonIC,nonexp,Jenny joked with the maid who was regularly late to work,"Jenny joked with the maid who was regularly late to work, and", and,-1.7081338167190552,"[('J', -6.636455059051514), ('enny', -4.522565841674805), (' joked', -13.220483779907227), (' with', -2.4503939151763916), (' the', -2.617248058319092), (' maid', -6.7739715576171875), (' who', -3.4185919761657715), (' was', -1.4934396743774414), (' regularly', -9.371274948120117), (' late', -7.800859451293945), (' to', -1.9274177551269531), (' work', -0.7280908226966858), (',', -1.5148714780807495), (' and', -1.7081338167190552)]"
13,4,trust,IC,exp,Nick trusted the captain who has consistently weathered big storms,"Nick trusted the captain who has consistently weathered big storms, because", because,-6.348418235778809,"[('Nick', -9.578401565551758), (' trusted', -16.392520904541016), (' the', -2.2902610301971436), (' captain', -6.232666969299316), (' who', -4.670018672943115), (' has', -5.704617977142334), (' consistently', -8.161243438720703), (' weather', -9.490433692932129), ('ed', -0.029786288738250732), (' big', -6.848819255828857), (' storms', -0.6531465649604797), (',', -2.241703510284424), (' because', -6.348418235778809)]"
14,4,stand,nonIC,exp,Nick stood near the captain who has consistently weathered big storms,"Nick stood near the captain who has consistently weathered big storms, because", because,-7.829314231872559,"[('Nick', -9.578401565551758), (' stood', -10.648926734924316), (' near', -5.125702381134033), (' the', -0.2287449687719345), (' captain', -9.07491397857666), (' who', -6.912042140960693), (' has', -6.446683883666992), (' consistently', -10.847362518310547), (' weather', -9.45667839050293), ('ed', -0.028408844023942947), (' big', -8.271967887878418), (' storms', -0.8507794737815857), (',', -2.157819986343384), (' because', -7.829314231872559)]"
15,4,trust,IC,nonexp,Nick trusted the captain who has consistently weathered big storms,"Nick trusted the captain who has consistently weathered big storms, and", and,-1.7598028182983398,"[('Nick', -9.578401565551758), (' trusted', -16.392520904541016), (' the', -2.2902610301971436), (' captain', -6.232666969299316), (' who', -4.670018672943115), (' has', -5.704617977142334), (' consistently', -8.161243438720703), (' weather', -9.490433692932129), ('ed', -0.029786288738250732), (' big', -6.848819255828857), (' storms', -0.6531465649604797), (',', -2.241703510284424), (' and', -1.7598028182983398)]"
16,4,stand,nonIC,nonexp,Nick stood near the captain who has consistently weathered big storms,"Nick stood near the captain who has consistently weathered big storms, and", and,-2.0509965419769287,"[('Nick', -9.578401565551758), (' stood', -10.648926734924316), (' near', -5.125702381134033), (' the', -0.2287449687719345), (' captain', -9.07491397857666), (' who', -6.912042140960693), (' has', -6.446683883666992), (' consistently', -10.847362518310547), (' weather', -9.45667839050293), ('ed', -0.028408844023942947), (' big', -8.271967887878418), (' storms', -0.8507794737815857), (',', -2.157819986343384), (' and', -2.0509965419769287)]"
17,5,correct,IC,exp,Angela corrected the secretary who has occasionally made small mistakes,"Angela corrected the secretary who has occasionally made small mistakes, because", because,-4.736004829406738,"[('Ang', -9.142109870910645), ('ela', -1.8607159852981567), (' corrected', -16.30760383605957), (' the', -1.5447938442230225), (' secretary', -10.331802368164062), (' who', -4.122065544128418), (' has', -5.154013156890869), (' occasionally', -9.380264282226562), (' made', -2.6565871238708496), (' small', -4.9876179695129395), (' mistakes', -1.0056501626968384), (',', -2.6101295948028564), (' because', -4.736004829406738)]"
18,5,gossip,nonIC,exp,Angela gossiped with the secretary who has occasionally made small mistakes,"Angela gossiped with the secretary who has occasionally made small mistakes, because", because,-5.833544731140137,"[('Ang', -9.142109870910645), ('ela', -1.8607159852981567), (' g', -9.830526351928711), ('oss', -3.154381513595581), ('iped', -12.722825050354004), (' with', -1.8182812929153442), (' the', -2.4475221633911133), (' secretary', -6.035454750061035), (' who', -3.4001312255859375), (' has', -5.484042167663574), (' occasionally', -9.324017524719238), (' made', -4.288137912750244), (' small', -4.604129314422607), (' mistakes', -2.474165201187134), (',', -2.267380714416504), (' because', -5.833544731140137)]"
19,5,correct,IC,nonexp,Angela corrected the secretary who has occasionally made small mistakes,"Angela corrected the secretary who has occasionally made small mistakes, and", and,-1.7957937717437744,"[('Ang', -9.142109870910645), ('ela', -1.8607159852981567), (' corrected', -16.30760383605957), (' the', -1.5447938442230225), (' secretary', -10.331802368164062), (' who', -4.122065544128418), (' has', -5.154013156890869), (' occasionally', -9.380264282226562), (' made', -2.6565871238708496), (' small', -4.9876179695129395), (' mistakes', -1.0056501626968384), (',', -2.6101295948028564), (' and', -1.7957937717437744)]"
20,5,gossip,nonIC,nonexp,Angela gossiped with the secretary who has occasionally made small mistakes,"Angela gossiped with the secretary who has occasionally made small mistakes, and", and,-1.7411242723464966,"[('Ang', -9.142109870910645), ('ela', -1.8607159852981567), (' g', -9.830526351928711), ('oss', -3.154381513595581), ('iped', -12.722825050354004), (' with', -1.8182812929153442), (' the', -2.4475221633911133), (' secretary', -6.035454750061035), (' who', -3.4001312255859375), (' has', -5.484042167663574), (' occasionally', -9.324017524719238), (' made', -4.288137912750244), (' small', -4.604129314422607), (' mistakes', -2.474165201187134), (',', -2.267380714416504), (' and', -1.7411242723464966)]"
21,6,comfort,IC,exp,Bob comforted the leader who was deeply disappointed by the court's decision,"Bob comforted the leader who was deeply disappointed by the court's decision, because", because,-4.128963470458984,"[('Bob', -9.50656795501709), (' comfort', -15.621639251708984), ('ed', -0.49235203862190247), (' the', -2.7453830242156982), (' leader', -8.251310348510742), (' who', -3.867370843887329), (' was', -1.0646175146102905), (' deeply', -4.945869445800781), (' disappointed', -4.691807746887207), (' by', -2.349832057952881), (' the', -0.5909955501556396), (' court', -7.630010604858398), (""'s"", -1.334773063659668), (' decision', -0.5744456648826599), (',', -2.105377197265625), (' because', -4.128963470458984)]"
22,6,greet,nonIC,exp,Bob greeted the leader who was deeply disappointed by the court's decision,"Bob greeted the leader who was deeply disappointed by the court's decision, because", because,-4.524489879608154,"[('Bob', -9.50656795501709), (' greeted', -13.123872756958008), (' the', -2.5040998458862305), (' leader', -8.251045227050781), (' who', -5.326560020446777), (' was', -1.582793951034546), (' deeply', -7.997186660766602), (' disappointed', -4.614692687988281), (' by', -2.594498634338379), (' the', -0.5086046457290649), (' court', -8.421232223510742), (""'s"", -1.521491289138794), (' decision', -0.6123594045639038), (',', -2.447974443435669), (' because', -4.524489879608154)]"
23,6,comfort,IC,nonexp,Bob comforted the leader who was deeply disappointed by the court's decision,"Bob comforted the leader who was deeply disappointed by the court's decision, and", and,-1.4421559572219849,"[('Bob', -9.50656795501709), (' comfort', -15.621639251708984), ('ed', -0.49235203862190247), (' the', -2.7453830242156982), (' leader', -8.251310348510742), (' who', -3.867370843887329), (' was', -1.0646175146102905), (' deeply', -4.945869445800781), (' disappointed', -4.691807746887207), (' by', -2.349832057952881), (' the', -0.5909955501556396), (' court', -7.630010604858398), (""'s"", -1.334773063659668), (' decision', -0.5744456648826599), (',', -2.105377197265625), (' and', -1.4421559572219849)]"
24,6,greet,nonIC,nonexp,Bob greeted the leader who was deeply disappointed by the court's decision,"Bob greeted the leader who was deeply disappointed by the court's decision, and", and,-1.4627900123596191,"[('Bob', -9.50656795501709), (' greeted', -13.123872756958008), (' the', -2.5040998458862305), (' leader', -8.251045227050781), (' who', -5.326560020446777), (' was', -1.582793951034546), (' deeply', -7.997186660766602), (' disappointed', -4.614692687988281), (' by', -2.594498634338379), (' the', -0.5086046457290649), (' court', -8.421232223510742), (""'s"", -1.521491289138794), (' decision', -0.6123594045639038), (',', -2.447974443435669), (' and', -1.4627900123596191)]"
25,7,envy,IC,exp,Laura envies the manager who has supposedly received a huge raise,"Laura envies the manager who has supposedly received a huge raise, because", because,-4.00937032699585,"[('Laura', -10.088369369506836), (' env', -15.500741958618164), ('ies', -0.848531186580658), (' the', -1.6022448539733887), (' manager', -10.314241409301758), (' who', -2.2257280349731445), (' has', -2.0096170902252197), (' supposedly', -11.076753616333008), (' received', -4.5067033767700195), (' a', -1.011208176612854), (' huge', -4.875528335571289), (' raise', -2.0868752002716064), (',', -2.2801241874694824), (' because', -4.00937032699585)]"
26,7,know,nonIC,exp,Laura knows the manager who has supposedly received a huge raise,"Laura knows the manager who has supposedly received a huge raise, because", because,-5.03964376449585,"[('Laura', -10.088369369506836), (' knows', -9.189046859741211), (' the', -2.6151223182678223), (' manager', -11.434083938598633), (' who', -4.33110237121582), (' has', -3.166328191757202), (' supposedly', -8.816278457641602), (' received', -5.959725379943848), (' a', -2.057690143585205), (' huge', -5.743228435516357), (' raise', -3.586036205291748), (',', -2.1323254108428955), (' because', -5.03964376449585)]"
27,7,envy,IC,nonexp,Laura envies the manager who has supposedly received a huge raise,"Laura envies the manager who has supposedly received a huge raise, and", and,-1.6975332498550415,"[('Laura', -10.088369369506836), (' env', -15.500741958618164), ('ies', -0.848531186580658), (' the', -1.6022448539733887), (' manager', -10.314241409301758), (' who', -2.2257280349731445), (' has', -2.0096170902252197), (' supposedly', -11.076753616333008), (' received', -4.5067033767700195), (' a', -1.011208176612854), (' huge', -4.875528335571289), (' raise', -2.0868752002716064), (',', -2.2801241874694824), (' and', -1.6975332498550415)]"
