sent_id,item_id,verb,sentence_type,continuation_type,main_sentence,sentence,critical_token,critical_prob,logprob
1,1,scold,IC,exp,Anna scolded the chef who was routinely letting food go to waste,"Anna scolded the chef who was routinely letting food go to waste, because", because,-5.244396209716797,"[(' sc', -9.480382919311523), ('olded', -2.7512776851654053), (' the', -2.3421854972839355), (' chef', -7.276005744934082), (' who', -3.403270721435547), (' was', -1.6673049926757812), (' routinely', -10.626011848449707), (' letting', -6.601652145385742), (' food', -4.83921480178833), (' go', -2.241917610168457), (' to', -1.4744738340377808), (' waste', -0.5367146134376526), (',', -2.145780324935913), (' because', -5.244396209716797)]"
2,1,study,nonIC,exp,Anna studied with the chef who was routinely letting food go to waste,"Anna studied with the chef who was routinely letting food go to waste, because", because,-5.840995788574219,"[(' studied', -10.819318771362305), (' with', -3.6210427284240723), (' the', -2.8300094604492188), (' chef', -8.791770935058594), (' who', -3.8755416870117188), (' was', -1.5745446681976318), (' routinely', -11.369521141052246), (' letting', -7.808061599731445), (' food', -5.272992134094238), (' go', -2.1940791606903076), (' to', -1.3896479606628418), (' waste', -0.49358558654785156), (',', -2.059494972229004), (' because', -5.840995788574219)]"
3,1,scold,IC,nonexp,Anna scolded the chef who was routinely letting food go to waste,"Anna scolded the chef who was routinely letting food go to waste, and", and,-2.154987096786499,"[(' sc', -9.480382919311523), ('olded', -2.7512776851654053), (' the', -2.3421854972839355), (' chef', -7.276005744934082), (' who', -3.403270721435547), (' was', -1.6673049926757812), (' routinely', -10.626011848449707), (' letting', -6.601652145385742), (' food', -4.83921480178833), (' go', -2.241917610168457), (' to', -1.4744738340377808), (' waste', -0.5367146134376526), (',', -2.145780324935913), (' and', -2.154987096786499)]"
4,1,study,nonIC,nonexp,Anna studied with the chef who was routinely letting food go to waste,"Anna studied with the chef who was routinely letting food go to waste, and", and,-1.7703858613967896,"[(' studied', -10.819318771362305), (' with', -3.6210427284240723), (' the', -2.8300094604492188), (' chef', -8.791770935058594), (' who', -3.8755416870117188), (' was', -1.5745446681976318), (' routinely', -11.369521141052246), (' letting', -7.808061599731445), (' food', -5.272992134094238), (' go', -2.1940791606903076), (' to', -1.3896479606628418), (' waste', -0.49358558654785156), (',', -2.059494972229004), (' and', -1.7703858613967896)]"
5,2,stare,IC,exp,John stared at the teacher who was definitely the smartest in the school,"John stared at the teacher who was definitely the smartest in the school, because", because,-5.460777282714844,"[(' stared', -11.85787582397461), (' at', -0.5964218378067017), (' the', -1.4035959243774414), (' teacher', -8.62015151977539), (' who', -2.743501663208008), (' was', -1.3595783710479736), (' definitely', -8.42123794555664), (' the', -3.659179925918579), (' smartest', -5.33298397064209), (' in', -3.527118682861328), (' the', -0.27928733825683594), (' school', -3.2908308506011963), (',', -1.6689808368682861), (' because', -5.460777282714844)]"
6,2,live,nonIC,exp,John lived next to the teacher who was definitely the smartest in the school,"John lived next to the teacher who was definitely the smartest in the school, because", because,-4.632410049438477,"[(' lived', -10.2154541015625), (' next', -5.388871192932129), (' to', -1.8511606454849243), (' the', -2.0083932876586914), (' teacher', -7.9463653564453125), (' who', -2.203237771987915), (' was', -1.9206463098526), (' definitely', -9.138593673706055), (' the', -2.857001543045044), (' smartest', -5.760509014129639), (' in', -3.6646833419799805), (' the', -0.3420173227787018), (' school', -2.40657901763916), (',', -1.5626144409179688), (' because', -4.632410049438477)]"
7,2,stare,IC,nonexp,John stared at the teacher who was definitely the smartest in the school,"John stared at the teacher who was definitely the smartest in the school, and", and,-1.8379747867584229,"[(' stared', -11.85787582397461), (' at', -0.5964218378067017), (' the', -1.4035959243774414), (' teacher', -8.62015151977539), (' who', -2.743501663208008), (' was', -1.3595783710479736), (' definitely', -8.42123794555664), (' the', -3.659179925918579), (' smartest', -5.33298397064209), (' in', -3.527118682861328), (' the', -0.27928733825683594), (' school', -3.2908308506011963), (',', -1.6689808368682861), (' and', -1.8379747867584229)]"
8,2,live,nonIC,nonexp,John lived next to the teacher who was definitely the smartest in the school,"John lived next to the teacher who was definitely the smartest in the school, and", and,-1.1650331020355225,"[(' lived', -10.2154541015625), (' next', -5.388871192932129), (' to', -1.8511606454849243), (' the', -2.0083932876586914), (' teacher', -7.9463653564453125), (' who', -2.203237771987915), (' was', -1.9206463098526), (' definitely', -9.138593673706055), (' the', -2.857001543045044), (' smartest', -5.760509014129639), (' in', -3.6646833419799805), (' the', -0.3420173227787018), (' school', -2.40657901763916), (',', -1.5626144409179688), (' and', -1.1650331020355225)]"
9,3,assist,IC,exp,Jenny assisted the maid who was regularly late to work,"Jenny assisted the maid who was regularly late to work, because", because,-4.593923568725586,"[('enny', -9.215071678161621), (' assisted', -12.458076477050781), (' the', -2.71966552734375), (' maid', -8.95539665222168), (' who', -3.424997091293335), (' was', -1.24272882938385), (' regularly', -10.338275909423828), (' late', -5.203544616699219), (' to', -1.795082926750183), (' work', -0.9548084735870361), (',', -2.0247244834899902), (' because', -4.593923568725586)]"
10,3,joke,nonIC,exp,Jenny joked with the maid who was regularly late to work,"Jenny joked with the maid who was regularly late to work, because", because,-5.06248140335083,"[('enny', -9.215071678161621), (' joked', -9.054389953613281), (' with', -3.2841038703918457), (' the', -2.425880193710327), (' maid', -8.247114181518555), (' who', -3.5749833583831787), (' was', -1.4392560720443726), (' regularly', -9.869053840637207), (' late', -4.336610317230225), (' to', -1.780716896057129), (' work', -1.2563049793243408), (',', -1.9567018747329712), (' because', -5.06248140335083)]"
11,3,assist,IC,nonexp,Jenny assisted the maid who was regularly late to work,"Jenny assisted the maid who was regularly late to work, and", and,-1.3400323390960693,"[('enny', -9.215071678161621), (' assisted', -12.458076477050781), (' the', -2.71966552734375), (' maid', -8.95539665222168), (' who', -3.424997091293335), (' was', -1.24272882938385), (' regularly', -10.338275909423828), (' late', -5.203544616699219), (' to', -1.795082926750183), (' work', -0.9548084735870361), (',', -2.0247244834899902), (' and', -1.3400323390960693)]"
12,3,joke,nonIC,nonexp,Jenny joked with the maid who was regularly late to work,"Jenny joked with the maid who was regularly late to work, and", and,-1.9692806005477905,"[('enny', -9.215071678161621), (' joked', -9.054389953613281), (' with', -3.2841038703918457), (' the', -2.425880193710327), (' maid', -8.247114181518555), (' who', -3.5749833583831787), (' was', -1.4392560720443726), (' regularly', -9.869053840637207), (' late', -4.336610317230225), (' to', -1.780716896057129), (' work', -1.2563049793243408), (',', -1.9567018747329712), (' and', -1.9692806005477905)]"
