sent_id,item_id,verb,sentence_type,attachment,plurality,sentence,critical_token,critical_prob,logprob
1,1,scold,IC,high,sg,Anna scolded the chef of the aristocrats who was, was,-3.538207530975342,"[(' sc', -9.480382919311523), ('olded', -2.7512776851654053), (' the', -2.3421854972839355), (' chef', -7.276005744934082), (' of', -4.477642059326172), (' the', -1.258042812347412), (' arist', -11.075675964355469), ('ocrats', -2.3200442790985107), (' who', -2.0660109519958496), (' was', -3.538207530975342)]"
2,1,study,nonIC,high,sg,Anna studied with the chef of the aristocrats who was, was,-3.1364235877990723,"[(' studied', -10.819318771362305), (' with', -3.6210427284240723), (' the', -2.8300094604492188), (' chef', -8.791770935058594), (' of', -4.1600189208984375), (' the', -0.894258439540863), (' arist', -10.7057523727417), ('ocrats', -3.286210298538208), (' who', -2.8442864418029785), (' was', -3.1364235877990723)]"
3,1,scold,IC,low,pl,Anna scolded the chef of the aristocrats who were, were,-1.9074169397354126,"[(' sc', -9.480382919311523), ('olded', -2.7512776851654053), (' the', -2.3421854972839355), (' chef', -7.276005744934082), (' of', -4.477642059326172), (' the', -1.258042812347412), (' arist', -11.075675964355469), ('ocrats', -2.3200442790985107), (' who', -2.0660109519958496), (' were', -1.9074169397354126)]"
4,1,study,nonIC,low,pl,Anna studied with the chef of the aristocrats who were, were,-1.9620003700256348,"[(' studied', -10.819318771362305), (' with', -3.6210427284240723), (' the', -2.8300094604492188), (' chef', -8.791770935058594), (' of', -4.1600189208984375), (' the', -0.894258439540863), (' arist', -10.7057523727417), ('ocrats', -3.286210298538208), (' who', -2.8442864418029785), (' were', -1.9620003700256348)]"
5,2,stare,IC,high,sg,John stared at the teacher of the second graders who was, was,-1.4982430934906006,"[(' stared', -11.85787582397461), (' at', -0.5964218378067017), (' the', -1.4035959243774414), (' teacher', -8.62015151977539), (' of', -5.552774429321289), (' the', -0.864142894744873), (' second', -4.065651893615723), (' grad', -5.990596294403076), ('ers', -1.6750128269195557), (' who', -2.839785575866699), (' was', -1.4982430934906006)]"
6,2,live,nonIC,high,sg,John lived next to the teacher of the second graders who was, was,-2.6108169555664062,"[(' lived', -10.2154541015625), (' next', -5.388871192932129), (' to', -1.8511606454849243), (' the', -2.0083932876586914), (' teacher', -7.9463653564453125), (' of', -3.423872232437134), (' the', -0.966829240322113), (' second', -5.1009416580200195), (' grad', -5.566834449768066), ('ers', -1.3101036548614502), (' who', -2.7776215076446533), (' was', -2.6108169555664062)]"
7,2,stare,IC,low,pl,John stared at the teacher of the second graders who were, were,-2.629842519760132,"[(' stared', -11.85787582397461), (' at', -0.5964218378067017), (' the', -1.4035959243774414), (' teacher', -8.62015151977539), (' of', -5.552774429321289), (' the', -0.864142894744873), (' second', -4.065651893615723), (' grad', -5.990596294403076), ('ers', -1.6750128269195557), (' who', -2.839785575866699), (' were', -2.629842519760132)]"
8,2,live,nonIC,low,pl,John lived next to the teacher of the second graders who were, were,-1.6730653047561646,"[(' lived', -10.2154541015625), (' next', -5.388871192932129), (' to', -1.8511606454849243), (' the', -2.0083932876586914), (' teacher', -7.9463653564453125), (' of', -3.423872232437134), (' the', -0.966829240322113), (' second', -5.1009416580200195), (' grad', -5.566834449768066), ('ers', -1.3101036548614502), (' who', -2.7776215076446533), (' were', -1.6730653047561646)]"
9,3,assist,IC,high,sg,Jenny assisted the maid of the executives who was, was,-3.769540309906006,"[('enny', -9.215071678161621), (' assisted', -12.458076477050781), (' the', -2.71966552734375), (' maid', -8.95539665222168), (' of', -4.307809829711914), (' the', -4.003599643707275), (' executives', -11.367727279663086), (' who', -3.142739772796631), (' was', -3.769540309906006)]"
10,3,joke,nonIC,high,sg,Jenny joked with the maid of the executives who was, was,-3.684569835662842,"[('enny', -9.215071678161621), (' joked', -9.054389953613281), (' with', -3.2841038703918457), (' the', -2.425880193710327), (' maid', -8.247114181518555), (' of', -4.110795974731445), (' the', -4.018124580383301), (' executives', -11.485652923583984), (' who', -3.4700469970703125), (' was', -3.684569835662842)]"
11,3,assist,IC,low,pl,Jenny assisted the maid of the executives who were, were,-1.77426278591156,"[('enny', -9.215071678161621), (' assisted', -12.458076477050781), (' the', -2.71966552734375), (' maid', -8.95539665222168), (' of', -4.307809829711914), (' the', -4.003599643707275), (' executives', -11.367727279663086), (' who', -3.142739772796631), (' were', -1.77426278591156)]"
12,3,joke,nonIC,low,pl,Jenny joked with the maid of the executives who were, were,-1.8330836296081543,"[('enny', -9.215071678161621), (' joked', -9.054389953613281), (' with', -3.2841038703918457), (' the', -2.425880193710327), (' maid', -8.247114181518555), (' of', -4.110795974731445), (' the', -4.018124580383301), (' executives', -11.485652923583984), (' who', -3.4700469970703125), (' were', -1.8330836296081543)]"
